Laboratorio,Nome do coordenador,ATENCAO,Nome Oficial,BATEU,PROVAVELMENTE ERRADO
Laboratorio de Tecnologias Educacionais,"vandor roberto vilardi rissoli
f) contato do coordenador:
e-mail: vandorissoli@gmailcom
telefone (pessoal): 61 99213-277",,jose roberto de souza de almeida leite,,
Information Technology - Research and Application Center,rejane maria da costa figueiredo,,rejane maria da costa figueiredo,,
Laboratorio de Caracterizacao de Materiais Metalicos e Ceramicos,roigo arbey munoz meneses,,rodrigo arbey munoz meneses,,
Laboratorio de Nanotecnologia,marilia miranda forte gome,,marilia miranda forte gomes,,
Laboratoria de Sistemas Inteligentes,marilia miranda forte gome,,marilia miranda forte gomes,,
Laboratorio de Informatica em Saude,marilia miranda forte gome,,marilia miranda forte gomes,,
Laboratorio de Quimica,sana maria da luz,,sandra maria da luz,,
Laboratorio de Processos de Fabricacao,rhander viana,,rhander viana,,
Laboratorio de Mecanica Computacional e Experimental,carla tatiana mota anflor,,carla tatiana mota anflor,,
Laboratorio de Propulsao Quimica,olexiy shynkarenko,,olexiy shynkarenko,,
Laboratorio de Desenvolvimento de Sistemas,luciano emidio,,luciano emidio neves da fonseca,,
Laboratorio de Eletricidade Aplicada,jorge cormane,,jorge andres cormane angarita,,
Laboratorio de Sistemas de Energia Eletrica,jorge cormane,,jorge andres cormane angarita,,
Laboratorio de Recursos Renovaveis e Energeticos,roseany de vasconcelos vieira lopes,,roseany de vasconcelos vieira lopes,,
Laboratorio de Termo-fluidos,luciano noleto,,luciano goncalves noleto,,
Laboratorio de Sistemas e Controle ,suzana moreira avila,,suzana moreira avila,,
"Laboratorio de Matematica Aplicada, Gestao e Problemas de Instrumentacao de Engenharia",euler de vilhena garcia,,euler de vilhena garcia,,
 Grupo de Pesquisa em Aprendizado de Maquina,fabricio braz,,fabricio ataides braz,,
Centro de Pesquisa em Arquitetura da Informacao,ricardo matos chaim f,,ricardo matos chaim,,
 Laboratorio de Aparelho Respiratorio,a veronica amado,,veronica moreira amado,,
 Laboratorio de Hematologia,a flavia piazzera,,flavia de oliveira maia pires,,
 Laboratorio de Nefrologia, flavio moura,,flavio jose dutra de moura,,
 Laboratorio de Psiquiatria,a tatiana valverde,,maria del rosario tatiana fernandez mendez,,
 Laboratorio Cardiovascular, alexane soares,,luiz antonio soares romeiro,,
 Laboratorio de Anatomia Molecular e Nanomedicina, jose roberto leite,,jose roberto de souza de almeida leite,,
 Laboratorio de Dermatologia/Micologia,ciro gomes,,ciro martins gomes,,
 Laboratorio de Histopatologia,a fabiana pirani carneiro,,fabiana pirani carneiro,,
 Laboratorio de Parasitologia Medica e Biologia de Vetores, roigo gurgel goncalves,,rodrigo gurgel goncalves,,
Laboratorio de Embriologia Humana e Aplicada, jose eduardo baronez,,jose eduardo baroneza,,
Laboratorio de Ensino e Pesquisa em Otorrinolaringologia, ane sampaio,,evaldo sampaio da silva,,
Laboratorio de Imunohistoquimica,a fabiana pirani carneiro,,fabiana pirani carneiro,,
Laboratorio de Imunohistoquimica e analise de imagem,a eliza duarte,,eliza carla barroso duarte,,
Laboratorio de Odontologia e Antropologia Forenses e Medicina Legal, malthus galvao,,malthus fonseca galvao,,
Laboratorio de Preservacao e Conservacao de Material Anatomico,biol daniel carneiro,,marcella lemos brettas carneiro,,
Laboratorio de Tecnicas Histologicas,a selma kuckelhaus,,selma aparecida souza kuckelhaus,,
 Laboratorio de Genetica Clinica,a juliana mazzeu,,juliana forte mazzeu de araujo,,
Laboratorio de Inovacao em Neurociencias e Ensino em Saude,a alessana ramos venosa,,alessandra ramos venosa,,
Laboratorio de Treinamento e Estudos em Cirurgia Robotica, ane sampaio,,evaldo sampaio da silva,,
Laboratorio de Patologia ,"doralina do amaral rabello ramos (desde 03 de
abril de 2018); vice-coordenadora: leonora maciel de souza vianna
f) contato do cooordenador(a): dorarabello@unbbr (61) 3107-178",,leonora maciel de souza vianna,,
Laboratorio Interdisciplinar de Biociencias,a nadjar nitz,,nadjar nitz silva lociks de araujo,,
 Laboratorio de Anatomia Digital,a jussara rocha ferreira,,jussara rocha ferreira,,
 Laboratorio de Cirurgia Experimental, ane sampaio,,evaldo sampaio da silva,,
 Laboratorio de Imunologia Celular,a maria imaculada barboza junqueir,,maria imaculada muniz barboza junqueira,,
Bioterio de Experimentacao da Faculdade de Medicina,med vet rafael anade,,rafael sanzio araujo dos anjos,,
Nucleo Integrado de Pesquisa em Esfigmomanometria,cristine alves costa de jesus,,cristine alves costa de jesus,,
Nucleo Integrado de Pesquisa em Esfigmomanometria, paulo cesar de jesus,,jose roberto de souza de almeida leite,,
Laboratorio de Avaliacao de Tecnologias em Saude,a maria regina fernandes de oliveira,,maria regina fernandes de oliveira,,
Laboratorio de Pesquisa Pre-Clinica,med vet ana luiza vieira sarkis,,ana aguiar cotrim,,
 Laboratorio de Entomologia, marcos obara,,marcos takashi obara,,
Laboratorio de Epidemiologia,a elisabeth carmen duarte,,elisabeth carmen duarte,,
"Laboratorio de Microbiologia, Imunologia e Biotecnologia "," ane nicolacoordenador(a): anenicola@gmailcom ane moraes nicola, hugo costa paes",,hugo costa paes,,
Laboratorio de Desenvolvimento de Inovacoes Terapeuticas, luiz antonio soares romeiro,,luiz antonio soares romeiro,,
 Laboratorio de Doenca de Chagas,gustavo romero,,gustavo adolfo sierra romero,,
Laboratorio de Leishmaniose, gustavo romero,,gustavo adolfo sierra romero,,
Nucleo de Medicina Tropical,gustavo adolfo sierra romero,,gustavo adolfo sierra romero,,
Laboratorio de Farmacognosia,laila salmen espindola,,laila salmen espindola,,
Laboratorio de Produtos Naturais,"perola magalhaes, damaris silveira",,damaris silveira,,
Laboratorio de Produtos Naturais,yris fonseca bazzo,,yris maria fonseca bazzo,,
Laboratorio de Saude do Trabalhador,maria da graca luderitz hoefel,,maria da graca luderitz hoefel,,
Laboratorio Interdisciplinar de Pesquisa Aplicada a Pratica Clinica em Oncologia,paula elaine diniz dos reis,,paula elaine diniz dos reis,,
Laboratorio de NeuroVirologia Molecular,enrique roberto arganaraz,,enrique roberto arganaraz,,
Laboratorio de NeuroVirologia Molecular,gustavo a arganaraz,,gustavo adolfo arganaraz,,
Patologia Molecular do Cancer,"doralina do amaral rabello ramos
anea motoyama
fabio pittella silva",,doralina do amaral rabello ramos,,
Laboratorio de Biospropeccao,"kanzaki, lib
end via l4, laboratorios multiuso do curso de medicina veterinaria
contato:",,jose roberto de souza de almeida leite,,
Catedra de Estudos e Pesquisas em Bioetica,volnei garrafa,,volnei garrafa,,
Laboratorio de Ciencia dos Alimentos,livia pineli,,livia de lacerda de oliveira pineli,,
"Laboratorio de Educacao, Informacao e Comunicacao em Saude",ana valeria machado mendonca,,ana valeria machado mendonca,,
"Laboratorio de Tecnologia de Medicamentos, Alimentos e Cosmeticos","guilherme m gelfuso, livia pineli, marcilio cunha filho",,francisco ricardo da cunha,,
"Laboratorio de Tecnologia de Medicamentos, Alimentos e Cosmeticos","tais gratieri
end: universidade de brasilia, campus darcy ribeiro faculdade de ciencias da saude, sala ac 109

site: wwwltmaccombr",,jose roberto de souza de almeida leite,,
Laboratorio de Estudos Inter-Geracionais e Promocao de Saude,"elza maria de souza
end campus darcy ribeiro  asa norte sala at 103/31",,elza maria de souza,,
Laboratorio de Processos e Praticas Cientificas em Saude,leides barroso azevedo,,leides barroso azevedo moura,,
Laboratorio de Hematologia ,felipe saldanha de araujo,,felipe saldanha de araujo,,
Laboratorio de Analise de Alimentos, livia de lacerda de oliveira,,livia de lacerda de oliveira pineli,,
Laboratorio de Avaliacao Nutricional, vivian siqueira santos goncalves,,marcus santos mota,,
Laboratorio de Nutricao Clinica e Avaliacao Metabolica,"nathalia marcolini pelucio pizato a a marina k ito, a a eliane said dutra; a a kenia m b de carvalho
email:  pizatonat@unbbr
telefone: 3307-254",,nathalia marcolini pelucio pizato,,
Laboratorio de Farmacologia Molecular,francisco de assis rocha neves,,francisco de assis rocha neves,,
Laboratorio de Estudos e Pesquisas Multidisciplinares em Seguranca do Paciente,maria cristina soares roigues,,maria cristina soares rodrigues,,
Laboratorio de Toxicologia,eloisa dutra caldas,,eloisa dutra caldas,,
Laboratorio de Controle de Qualidade em Medicamentosa,"damaris silveira, perola oliveira magalhaes",,damaris silveira,,
Laboratorio de Controle de Qualidade em Medicamentosa,yris maria fonseca-bazzo,,yris maria fonseca bazzo,,
"Nucleo de Estudo em Enfermagem, Educacao, Processo de Trabalho em Saude ",diana lucia moura pinho,,diana lucia moura pinho,,
Nucleo de Evidencias em Saude/Observatorio de Doencas Raras,natan monsore,,natan monsores de sa,,
Nucleo de Nutricao, teresa helena macedo da costa,,teresa helena macedo da costa,,
"Nucleo de Estudos em Educacao, Promocao da Saude e Projetos Inclusivos",maria raquel gomes maia pires,,maria raquel gomes maia pires,,
Observatorio de Politicas de Seguranca Alimentar e Nutricao,elisabetta recine,,elisabetta gioconda iole giovanna recine,,
Laboratorio do Observatorio de Bioetica e Direitos,aline a s oliveira,,aline fonseca de oliveira,,
"Laboratorio de Bioetica, Etica em Pesquisa e Integridade Cientifica","a dirce bellezi guilhem 
end: universidade de brasilia, unb, faculdade de ciencia da saude campus darcy ribeiro, asa norte
contato: +5561 98158-7000 (a dirce guilhem)
e-mail: eticaempesquisa@unbbr",,jose roberto de souza de almeida leite,,
"Laboratorio de Bioetica, Etica em Pesquisa e Integridade Cientifica",guilhem@unbbr,,dirce bellezi guilhem,,
Laboratorio de Ensaio de Materiais," elton bauer daniel rosa, emmanuel pacheco",,elton bauer,,
Laboratorio de Ensaio de Materiais,palloma muterlle,,palloma vieira muterlle,,
Laboratoriod e Maquinas Termicas,carlos alberto gurgel veras,,carlos alberto gurgel veras,,
Laboratorio de Protecao de Sistemas Eletricos,kleber melo,,kleber melo e silva,,
Laboratorio de Protecao de Sistemas Eletricos,silva,,carolina pescatori candido da silva,,
Laboratorio de Hidraulica,leonardo zandonadi moura,,leonardo zandonadi moura,,
Plataforma de Prestacao de Servicos da Construcao Civil,elton bauer,,elton bauer,,
"Laboratorio de Visualizacao, Interacao e Simulacao;",edison ferreira pratini,,clelia maria de sousa ferreira parreira,,
Laboratorio Automacao e Robotica Aerea,geovany araujo borges,,geovany araujo borges,,
Laboratorio do Grupo de Processamento Digital de Sinais,francisco assis de oliveira nascimento,,francisco assis de oliveira nascimento,,
Laboratorio do Grupo de Automacao e Controle de Processos e Sistemas,"sadek crisostomo absi alfaro 

guilherme caribe de carvalho",,guilherme caribe de carvalho,,
Laboratorio de Mecanica Computacional,francisco evangelista junior,,francisco evangelista junior,,
Laboratorio de Caracterizacao Termomecanica e Microestrutural de Materiais Inteligentes,edson paulo da silva,,edson paulo da silva,,
Laboratorio de Saneamento Ambiental,cristina celia silveira brandao,,cristina celia silveira brandao,,
Laboratorio de Metalurgia e Materiais ,palloma vieira muterll,,palloma vieira muterlle,,
Laboratorio de Dispositivos e Circuitos Integrados,jose camargo da costa,,jose camargo da costa,,
Laboratorio de Infraestrutura,marcio muniz de farias,,marcio muniz de farias,,
Laboratorio de Analise de Tensoes,jorge luiz ferreira,,jorge luiz de almeida ferreira,,
Laboratorio de Analise de Tensoes,suzana avila,,suzana moreira avila,,
Laboratorio do Grupo de Engenharia Biomedica,icaro dos santos,,helton saulo bezerra dos santos,,
Laboratorio de Engenharia de Redes de Comunicacoes,rafael timoteo de sousa jr,,rafael timoteo de sousa jr,,
Laboratorio de Estruturas,marcos honorato de oliveira,,marcos honorato de oliveira,,
Laboratorio de Fadiga e Integridade de Cabos de Energia,"lucival malcher, jorge luiz ferreira",,lucival malcher,,
Laboratorio de Fadiga e Integridade de Cabos de Energia,manuel bracelos,,manuel nascimento dias barcelos junior,,
Laboratorio de Vibracoes e Dinamica de Sistemas,aline souza de paula,,aline souza de paula,,
Laboratorio de Geotecnia,michele dal toe casagrande,,michele dal toe casagrande,,
Laboratorio de Processos de Fabricacao ,alysson martins almeida silva,,alysson martins almeida silva,,
Laboratorio de Ensaios Mecanicos,jose alexander araujo,,jose alexander araujo,,
Laboratorio de Pesquisa e Ensino em Eletromagnetismo e Microondas,plinio r ganime alves,,plinio ricardo ganime alves,,
Laboratorio de Pesquisa e Ensino de Antenas,franklin da costa silva,,franklin da costa silva,,
Laboratorio de Fauna e Unidade de Conservacao,reuber albuquerque brandao,,reuber albuquerque brandao,,
Laboratorio de Pesquisa em Sementes e Viveiro Florestal,rosana de carvalho cristo martins,,rosana de carvalho cristo martins,,
Laboratorio de Silvicultura,anderson marcos,,anderson marcos de souza,,
Laboratorio de Tecnologia da Madeira,ailton teixeira do vale,,ailton teixeira do vale,,
Laboratorio de Ar-condicionado e Refrigeracao,joao manoel dias pimenta,,joao manoel dias pimenta,,
Laboratorio Analise e Sistemas de Potencia,francisco damasceno freitas,,francisco damasceno freitas,,
Laboratorio de Aeroacustica Computacional,roberto francisco boberienth miserda,,roberto francisco bobenrieth miserda,,
Laboratorio de Microondas e Sistemas sem Fio,paulo henrique portela de carvalho,,paulo henrique portela de carvalho,,
Laboratorio de Geoprocessamento e Manejo Florestal,eraldo a t matricardi,,eraldo aparecido trondoli matricardi,,
Laboratorio de Processamento de Sinais em Arranjos de Sensores,joao paulo carvalho lustosa da costa,,joao paulo carvalho lustosa da costa,,
Laboratorio De Fundicao e Soldagem,walter gennari jr,,rafael timoteo de sousa jr,,
Laboratorio de Seguranca Ambiental,paloma vieira muterlle,,palloma vieira muterlle,,
Laboratorio de Televisao Digital e Redes Sem Fio,paulo roberto de lira gondim,,paulo roberto de lira gondim,,
Laboratorio de Propriedades Energeticas e Biomassa,alexane florian,,alexandre florian da costa,,
Laboratorio de Estruturas de Micro-ondas e Ondas Milimetricas,paulo henrique portela de carvalho,,paulo henrique portela de carvalho,,
Laboratorio Aberto de Brasilia,anea cristina dos santos,,andrea cristina dos santos,,
Laboratorio Aberto de Brasilia,"dianne 
magalhaes viana",,dianne magalhaes viana,,
Laboratorio do Programa de Educacao Continuada em Ciencias da Engenharia,aida alves fadel,,aida alves fadel,,
Laboratorio do Grupo de Inovacao em Automacao Industrial,alberto jose alvares,,alberto jose alvares,,
Laboratorio de Motores de Combustao,armando de azevedo caldeira pires,,armando de azevedo caldeira pires,,
Laboratorio Redes Eletricas Inteligentes,anesio de leles ferreira filho,,anesio de leles ferreira filho,,
Laboratorio de Sistemas Hidraulicos e Pneumaticos,essora aida alves fadel,,aida alves fadel,,
Laboratorio de Mecanica dos Fluidos e Escoamento Complexo  ,francisco ricardo da cunha,,francisco ricardo da cunha,,
Laboratorio de Tensao de Materiais e Tratamento Termico,cosme roberto moreira da silva,,cosme roberto moreira da silva,,
Laboratorio de Desenvolvimento de Produto e Prototipagem Rapida,alberto jose alvares,,alberto jose alvares,,
Laboratorio de Ensaios de Equipamentos e Sistemas Eletromedicos ,geovany araujo borges,,geovany araujo borges,,
Nucleo de Multimidia e Internet ,luis fernando ramos molinaro,,luis fernando ramos molinaro,,
 Laboratorio Numerico - Experimental de Estruturas,antonio carlos de oliveira miranda,,antonio carlos de oliveira miranda,,
"Grupo de Pesquisa em Inovacao, Projetos e Processos",sanderson cesar macedo barbalho,,sanderson cesar macedo barbalho,,
Nucleo Brasilia - Observatorio das Metropoles ,romulo jose da costa ribeiro,,romulo jose da costa ribeiro,,
"Laboratorio Multiusuario de Ensino e Pesquisa em Educacao
Matematica",aneia borges avelar da silva,,otilia maria alves da nobrega alberto dantas,,
Laboratorio Multiusuario de Biogeoquimica e Materiais,mauro francisco pinheiro da silva,,mauro francisco pinheiro da silva,,
Laboratorio de Qualidade e Seguranca de Produtos Agricolas Alimentares,flavia nogueira de sa,,flavia nogueira de sa,,
Laboratorio de Experiencias Agroecologicas,flavio murilo pereira da costa,,flavio murilo pereira da costa,,
Laboratorio de Ensino de Biologia I,flavia de sa nogueira,,flavia nogueira de sa,,
Laboratorio de Ensino de Biologia II,flavia de sa nogueira,,flavia nogueira de sa,,
Laboratorio  Multiusuario de Nanociencia Ambiental Aplicada,alex fabiano cortez campos,,alex fabiano cortez campos,,
Laboratorio de Apoio em Ensino de Ciencias I,jeane cristina gomes rotta,,jeane cristina gomes rotta,,
Laboratorio do Nucleo de Estudos e Pesquisas Ambientais e Limnologicas ,ludgero cardoso galli vieira,,ludgero cardoso galli vieira,,
Laboratorio de Ensino de Quimica,mauro francisco pinheiro da silva,,mauro francisco pinheiro da silva,,
Laboratorio de Apoio em Ensino de Ciencias II,jeane cristina gomes rotta,,jeane cristina gomes rotta,,
Laboratorio de Analise e Monitoramento Ambiental,jose vicente elias bernardi,,jose vicente elias bernardi,,
Laboratorio de Biologia Celular e Biotecnologia,marcella lemos brettas carneiro,,marcella lemos brettas carneiro,,
Laboratorio de Pesquisa em Ciencias Sociais e Metodologia Qualitativa,tania cristina da silva cruz,,tania cristina da silva cruz,,
"Laboratorio de Artes, Teatro ",rafael litvin villas boas,,rafael litvin villas boas,,
Laboratorio de Matematica,"simone vasconcelos da silva 
rogerio ferreira  ",,rogerio ferreira,,
Laboratorio de Geodesia e Geoestatistica,rogerio ferreira,,rogerio ferreira,,
Laboratorio de Geodesia e Geoestatistica,anete maria de oliveira ,,anete maria de oliveira,,
Laboratorio de Geociencia e Fisica I ,armando de mendonca maroja,,armando de mendonca maroja,,
Laboratorio de Geociencia e Fisica I ,roigo milloni santucci,,rodrigo miloni santucci,,
Centro de Pesquisa e Aplicacao de Bambu e Fibras Naturais,jaime goncalves de almeida,,jaime goncalves de almeida,,
"Centro Multidiscipinar de Direito, Economia e Tecnologias de Comunicacoes","marcio iorio aranha (fd)
murilo cesar ramos (fac",,marcio botelho de castro,,
Instituto Nacional de Ciencia e Tecnologia de Nanobiotecnologia,ricardo bentes de azevedo,,ricardo bentes de azevedo,,
Instituto de Inclusao no Ensino Superior e na Pesquisa,jose jorge de carvalho,,jose jorge de carvalho,,
Instituto Nacional de Ciencia e Tecnologia de Estudos Geotectonicos,reinhardt fuck,,ricardo gauche,,SIM
Laboratorio de Alelopatia,alfredo gui ferreira,,alice maria de araujo ferreira,,
Colecao Micologica,danilo batista pinho,,danilo batista pinho,,
Colecao de Invertebrados em Meio Liquido,reginaldo constantino,,reginaldo constantino,,
Laboratorio de Cultura de Tecidos Vegetal,sergio araujo figueiredo,,lillian maria araujo de rezende alvares,,
Laboratorio de Bioquimica Vegetal,lourdes isabel velho do amaral,,josiane do socorro aguiar de souza de oliveira campos,,
Laboratorio de Fisiologia do Estresse,nao informou,,ana adelina lopo ramos,,SIM
Laboratorio de Biologia de Insetos Herbivoros,antonio jose camillo de aguiar,,antonio jose camillo de aguiar,,
Laboratorio de Ensino de Ciencias,"ana julia peeira; cristiane roigues menezes russo, joao paulo cunha de menezes",,joao paulo cunha de menezes,,
Laboratorio de Ensino de Ciencias,zara faria sobrinha guimaraes,,luiz fabricio zara,,
 Laboratorio de Evolucao e Ecologia Sensorial,felipe malheiros gawryszewski,,felipe malheiros gawryszewski,,
Laboratorio de Reproducao Animal e Endocrinologia,"carolina madeira lucci;
fernanda paulini",,fernanda paulini,,
Laboratorio de Termobiologia,fabian borghetti,,fabian borghetti,,
Laboratorio de Anatomia Comparativa de Vertebrados,julia klaczko,,julia klaczko,,
Laboratorio de Anatomia Vegetal,sueli maria gomes,,sueli maria gomes,,
Laboratorio de Biologia Molecular de Plantas,luiz alfredo roigues pereira,,luiz alfredo rodrigues pereira,,
Laboratorio de Fisiologia Vegetal,augusto franc,,augusto cesar franco,,
Laboratorio de Biotecnologia de Leveduras,fernando araripe goncalves torres,,fernando araripe goncalves torres,,
Laboratorio de Biotecnologia de Leveduras,lidia maria pepe de moraes,,lidia maria pepe de moraes,,
Laboratorio de Fitopatologia Molecular,marisa ferreira,,marisa alvares da silva velloso ferreira,,
Laboratorio de Limnologia,jose francisco goncalves junior,,jose francisco goncalves junior,,
Laboratorio de Limnologia, murilo dias,,murilo sversut dias,,
Laboratorio de Biofisica Molecular,sonia maria de freitas,,sonia maria de freitas,,
Laboratorio de Biofisica Molecular,joao alexane ribeiro goncalves barbosa,,joao alexandre ribeiro goncalves barbosa,,
Laboratorio de Fitopatologia - Pesquisa em Nematologia Vegetal,cleber furlanetto,,cleber furlanetto,,
Laboratorio de Herptologia,guarino rinaldi colli,,guarino rinaldi colli,,
Laboratorio de Bacteriologia Vegetal,marisa ferreira,,marisa alvares da silva velloso ferreira,,
Laboratorio de Baculovirus,bergmann morais ribeiro,,bergmann morais ribeiro,,
Laboratorio de Aracnideos,paulo cesar motta,,paulo cesar motta,,
Laboratorio de Bentos,maria julia martins silva,,maria julia martins silva,,
Laboratorio de Biologia e Conservacao de Morcegos e Servicos Ambientais,ludmilla moura de souza aguiar,,ludmilla moura de souza aguiar,,
Laboratorio de Planejamento para Conservacao da Biodiversidade,ricardo b machado,,ricardo bomfim machado,,
Laboratorio de Micologia,luiz e b blum,,luiz eduardo bassay blum,,
Laboratorio de Virologia Vegetal,rita de cassia pereira carvalho,,rita de cassia pereira carvalho,,
Laboratorio de Entomologia I,marina regina frizzas,,marina regina frizzas,,
Laboratorio de Entomologia II,jose roberto pujol luz,,jose roberto pujol luz,,
Laboratorio de Biologia Teorica e Computacional,antonio francisco araujo,,antonio francisco pereira de araujo,,
Laboratorio de Biologia Teorica e Computacional,werner treptow,,werner treptow,,
Laboratorio de Relacoes Solo-Vegetacao,essora gabriela bielefeld nardoto,,gabriela bielefeld nardoto,,
"Laboratorio de Pesquisa germinacao, estabelecimento de plantulas e mudancas climaticas",fabian borghetti,,fabian borghetti,,
Laboratorio de Biologia e Conservacao de Mamiferos,jader marinho-filho,,antonio isidro da silva filho,,
Laboratorio de Bioimagem,joao paulo f longo,,joao paulo figueiro longo,,
Laboratorio de Neurociencia e Comportamento,rafael plakoudi souto maior,,rafael plakoudi souto maior,,
Laboratorio de Biologia Evolutiva,rosana tidon,,rosana tidon,,
Laboratorio de Toxinologia,osmindo roigues pires junior,,osmindo rodrigues pires junior,,
Laboratorio de Ecologia e Conservacao de Aves,miguel marini,,miguel angelo marini,,
Laboratorio de Termitologia,reginaldo constantino,,reginaldo constantino,,
Lab. Reg. Genica e Mutagenese,iris ferrari,,paola caliari ferrari martins,,
Laboratorio de Ecologia de Ecossistemas,mercedes bustamante,,mercedes maria da cunha bustamante,,
Laboratorio de Enzimologia,edivaldo ximenes ferreira filho,,edivaldo ximenes ferreira filho,,
Laboratorio de Citogenetica Vegetal da Mandioca,nagib mohammed abdalla nassar,,humberto abdalla junior,,SIM
Laboratorio de Comportamento Animal e Aviario Cientifico,regina helena ferraz macedo,,regina helena ferraz macedo,,
Laboratorio de Lepidoptera / Laboratorio de Mimetismo e Psicologia de Predadores,carlos eduardo guimaraes pinheiro,,carlos eduardo guimaraes pinheiro,,
Laboratorio de Microscopia e Microanalise,jose raimundo correa,,jose raimundo correa,,
Laboratorio de Imunologia e Inflamacao,kelly grace magalhaes,,kelly grace magalhaes,,
Laboratorio de Ecologia do Fogo,heloisa miranda,,heloisa sinatora miranda,,
Laboratorio de Ecologia e Conservacao de Mamiferos,emerson vieira,,emerson monteiro vieira,,
Laboratorio de Ecologia Vegetal,isabel schmidt,,isabel belloni schmidt,,
Laboratorio Analises Moleculares de Patogenos ,vicente de paulo martins,,vicente de paulo martins,,
Laboratorio de Estresse Oxidativo,elida geralda campos,,elida geralda campos,,
Grupo de Imunologia Molecular,anea maranhao,,arthur trindade maranhao costa,,
Lab. Taxonomia de Drosofilideos,rosana tidon,,rosana tidon,,
Laboratorio de Imunologia Molecular,marcelo de macedo brigido,,marcelo de macedo brigido,,
Laboratorio de Bioquimica e Quimica de Proteinas,marcelo valle de sousa,,marcelo valle de sousa,,
Centro de Biotecnologia Molecular,fernando araripe g torres,,fernando araripe goncalves torres,,
Laboratorio de Neurofarmacologia,marcia renata mortari,,marcia renata mortari,,
Laboratorio de Genetica Toxicologica,cesar koppe grisolia,,cesar koppe grisolia,,
"Laminoteca
",sueli maria gomes,,sueli maria gomes,,
Xiloteca,julia sonsin oliveira,,julia sonsin oliveira,,
Nucleo de Ilustracao Cientifica,marcos a s silva ferraz,,marcos antonio dos santos silva ferraz,,
