Laboratorio,Nome do coordenador,ATENCAO,Nome Oficial,BATEU,PROVAVELMENTE ERRADO
Laboratorio de Metafisica no Pensamento Contemporaneo,hilan nissior bensusan,,hilan nissior bensusan,,
Laboratorio ARCHAI: Origens do Pensamento Ocidental,gabriele cornelli,,gabriele cornelli,,
Laaboratorio e Grupo de Estudos em Relacoes Interetnicas,stephen grant baines,,stephen grant baines,,
Laboratorio de Antropologia da Ciencia e da Tecnica,guilherme jose da silva,,guilherme jose da silva e sa,,
Laboratorio de Antropologia da Ciencia e da Tecnica,sa,,rosana tidon,,
Laboratorio de Antropologia da Ciencia e da Tecnica,carlos sautchuk,,carlos emanuel sautchuk,,
Laboratorio de Antropologia da T/erra,marcela stockler coelho de souza,,marcela stockler coelho de souza,,
"Laboratorio de Estudos da Cidadania, Administracao e Conflitos e Justica",luis roberto cardoso de oliveira,,luis roberto cardoso de oliveira,,
Laboratorio de Estudos da Globalizacao e do Desenvolvimento,kelly cristiane da silva,,kelly cristiane da silva,,
"Laboratorio de Estudos e Pesquisas em Movimentos Indigenas, Politicas Indigenistas e Indigenismo",luis abraham cayon duran,,luis abraham cayon duran,,
Laboratorio de Estudos Interdisciplinares sobre Acesso a Justica e Direito nas Americas,talita tatiana dias rampin,,edna dias canedo,,
Laboratorio de Estudos sobre as Migracoes Internacionais,leonardo cavalcanti da silva,,otilia maria alves da nobrega alberto dantas,,
Laboratorio de Etnografia das Instituicoes e das Praticas de Poder,carla costa teixeira,,carla costa teixeira,,
Laboratorio de Etnologia em Contextos Africanos,ane de souza lobo,,andrea de souza lobo,,
Laboratorio de Etnologia em Contextos Africanos,juliana braz dias,,juliana braz dias,,
Laboratorio de Imagem e Registro de Interacoes Sociais,carlos emanuel sautchuk,,carlos emanuel sautchuk,,
Laboratorio de Indigenismo e Etnologia,jose antonio vieira pimenta,,jose antonio vieira pimenta,,
Laboratorio de Informatica,carlos alexane barboza plinio dos santos,,carlos alexandre barboza plinio dos santos,,
Laboratorio de Pesquisa sobre Estados e Desenvolvimento nas Americas, moises villamil balestro;  luiz guilherme de oliveir,,moises villamil balestro,,
Laboratorio de Pesquisa sobre Estados e Desenvolvimento nas Americas, camilo negri,,camilo chang dorea,,
Laboratorio de Pos-Doutorado e Estudos Avancados em Antropologia,antonadia monteiro borges,,antonadia monteiro borges,,
"Laboratorio de Vivencias e Reflexoes Antropologicas: Direitos, Politicas e Estilo de Vida",antonadia monteiro borges,,antonadia monteiro borges,,
Nucleo de Referencia e Documentacao sobre as Americas, moises villamil balestro;  luiz guilherme de oliveir,,moises villamil balestro,,
Nucleo de Referencia e Documentacao sobre as Americas, camilo negri,,camilo chang dorea,,
Nucleo-Rede de Estudos e Pesquisas sobre Desenvolvimento e Democracia na America Latina,lilia goncalves magalhaes tavolaro,,dais goncalves rocha,,
Nucleo-Rede de Estudos e Pesquisas sobre Desenvolvimento e Democracia na America Latina,flavia lessa de barros,,jose roberto de souza de almeida leite,,
Nucleo de Estudos sobre Violencia e Seguranca,arthur costa m trindade,,arthur trindade maranhao costa,,
Nucleo de Estudos sobre Violencia e Seguranca,cristina zackseski,,cristina maria zackseski,,
Laboratorio do Teatro do Instante,"alice stefania curi
essora doutora rita de almeida castr",,alice stefania curi,,
Laboratorio de Encadernacao,symone roigues jardim,,wagner rodrigues martins,,SIM
"Laboratorio de Arte, Educacao e Visualidade","belidson dias, rosana de castro",,diana vaz de lima,,
"Laboratorio de Arte, Educacao e Visualidade",tatiana fernandez,,maria del rosario tatiana fernandez mendez,,
Laboratorio de Desenvolvimento de Produtos,ana claudia maynardes,,ana claudia maynardes,,
Laboratorio de Design e Prototipagem,francisco leite aviani,,jose roberto de souza de almeida leite,,
"Laboratorio de Design, Indumentaria e Moda",georgia m de castro santos,,georgia maria de castro santos,,
Laboratorio de Desing de Interfaces,virginia tiradentes,,virginia tiradentes souto,,
Laboratorio de Dramaturgia e Imaginacao Dramatica,marcus mota,,marcus santos mota,,
Laboratorio de Editoracao e Programacao Visual,nivalda assuncao,,nivalda assuncao de araujo,,
Laboratorio de Formas Animadas,izabela brochado,,izabela marques dourado bastos charneau,,
Laboratorio de Fotografia Alternativa,ruth moreira de sousa regiani,,ruth moreira de sousa regiani,,
Laboratorio de Gemas e Joias,ana claudia maynardes,,ana claudia maynardes,,
Laboratorio de Guitarra e Musica Popular,bruno mangueira,,bruno rosas mangueira,,
Laboratorio de Imagem e(m) Cena,roberta k matsumoto,,roberta kumasaka matsumoto,,
Laboratorio de Imagem e(m) Cena,luciana hartman,,luciana hartmann,,
Laboratorio de Informatica,ane maya,,andre camargo thome maya monteiro,,
"Laboratorio de Jogos, Narrativas e Linguagens",rogerio jose camara,,rogerio jose camara,,
Laboratorio de Materiais Expressivos,therese hoffman,,therese hofmann gatti rodrigues da costa,,
Laboratorio de Materialidade da Palavra,rogerio jose camara,,rogerio jose camara,,
Laboratorio de Musicologia, a beatriz duarte pereira de magalhaes castro,,beatriz duarte pereira de magalhaes castro,,
Laboratorio de Performance e Teatro do Vazio,simone silva reis mott,,carolina pescatori candido da silva,,
Laboratorio de Performance e Teatro do Vazio,giselle roigues de brito,,giselle rodrigues de brito,,
Laboratorio de Pesquisa e Criacao Artistica em Poeticas do Movimento,marcia duarte,,marcia duarte pinho,,
Laboratorio de Pesquisa e Criacao Artistica em Poeticas do Movimento,giselle roigues,,giselle rodrigues de brito,,
Laboratorio de Serigrafia,evano renato perott,,evandro renato perotto,,
Laboratorio de Sonoplastia, marcus santos mota,,marcus santos mota,,
Laboratorio de Sonoplastia,tec glauco maciel,,leonora maciel de souza vianna,,
Laboratorio de Teoria e Historia da Arte,"a vera pugliese
contato: verapugliese@gmailcom",,vera marisa pugliese de castro,,
Laboratorio ETHOS - Estudos em Design e Cultura ,nayara moreno de siqueira,,nayara moreno de siqueira,,
Laboratorio Interdisciplinar de Investigacao e Acao Artistica,fernando villar,,fernando antonio pinheiro villar de queiroz,,
Laboratorio Transdisciplinar de Cenografia,sonia paiva,,fernando paiva scardua,,
Laboratorio Visualidades Graficas,celia matsunaga higawa / marisa cobbe maass,,marisa cobbe maass,,
Laboratorio de Papel Artesanal,therese hoffman,,therese hofmann gatti rodrigues da costa,,
"Laboratorio de Pesquisa, Desenvolvimento e Inovacao em Midias Interativas ","  antenor ferreira correa

                              ",,antenor ferreira correa,,
Laboratorio de Pesquisa em Arte e Realidade Virtual - Kennetic World e Perceptos e Afectos,suzete venturelli,,suzete venturelli,,
Laboratorio de Pesquisa em Design e Urbanidades,daniela favaro garrossini,,daniela favaro garrossini,,
Centro do Coletivo de Documentacao e Pesquisa em Danca Eros Volusia,soraia maria silva,,soraia maria silva,,
Nucleo de Treinamento do Ator,rita de almeida castro,,rita de cassia de almeida castro,,
Laboratorio do Teatro da Mentira,felicia johanson,,felicia johansson carneiro,,
Laboratorio de Pesquisas Pianisticas, a gisele pires de oliveira mota,,gisele pires de oliveira mota,,
Laboratorio Interdisciplinar de Estudos do Som, a tatiana olivieri catanzaro,,maria del rosario tatiana fernandez mendez,,
Laboratorio de Probabilidade Aplicada e Modelagem Estocastica,bernardo borba de anade,,bernardo borba de andrade,,
Laboratorio de Raciocinio Automatizado,marcelo ladeira,,marcelo ladeira,,
Laboratorio de Engenharia de Software, vander alves,,vander ramos alves,,
Laboratorio de Transporte Aereo,li weigang,,li weigang,,
"Laboratorio de Imagens, Sinais e Acustica",camilo chang dorea,,camilo chang dorea,,
Laboratorio do Programa Institucional de Bolsa de Iniciacao a Docencia em Matematica,lineu da costa araujo neto,,lineu da costa araujo neto,,
Laboratorio de Formalismos da Computacao e Experimentos em metodos Formais, mauricio ayala rincon,,mauricio ayala rincon,,
Laboratorio de Ensino de Matematica,lineu costa,,lineu da costa araujo neto,,
Laboratorio do Programa de Educacao Tutorial em Matematica,luciana avila roigues,,luciana maria dias de avila rodrigues,,
Laboratorio de Bioestatistica,eduardo yoshio nakano,,eduardo yoshio nakano,,
Laboratorio de Ciencia de Dados,bernardo borba de anade,,bernardo borba de andrade,,
Laboratorio de Ensino,regina pina,,regina da silva pina neves,,
Laboratorio de Fluidos Complexos,jerome depeyrot,,jerome depeyrot,,
Laboratorio de Espectroscopia Eletronica,alexana mocellin,,alexandra mocellin,,
Laboratorio de Espectroscopia Optica,sebastiao william da silva,,sebastiao william da silva,,
Laboratorio de Espectroscopia Raman,sebastiao william da silva,,sebastiao william da silva,,
Laboratorio de Quimica do NFA,sebastiao william da silva,,sebastiao william da silva,,
Laboratorio de Calculo Cientifico em Fisica de Nanoestruturas,antonio luciano de a fonseca,,antonio luciano de almeida fonseca,,
Laboratorio de Fotobiorreatores,luiz roncaratti,,luiz fernando roncaratti jr,,
Laboratorio de Cosmologia e Astrofisica,ivan soares ferreira,,ivan soares ferreira,,
Laboratorio de Estudos de Nanossilicatos ,geraldo jose da silva,,geraldo jose da silva,,
Laboratorio de Calculo Cientifico do Instituto de Fisica,qu fanyao,,qu fanyao,,
Laboratorio MOSSBAUER,jose antonio h coaquira,,jose antonio huamani coaquira,,
Laboratorio de Espectroscopia Fotoacustica,paulo cesar de morais,,jose roberto de souza de almeida leite,,
Laboratorio Multiusuario de Medidas de Propriedades Fisicas ,jose antonio h coaquira,,jose antonio huamani coaquira,,
Laboratorio de Sintese de Materiais ,jose a humani coaquira,,jose roberto de souza de almeida leite,,
Laboratorio de Cristais Liquidos ,marcus b lacerda santos,,paulo henrique fernandes dos santos,,
Laboratorio de Cristais Liquidos ,geraldo jose da silva,,geraldo jose da silva,,
Laboratorio de Caracterizacao de Baixas Dimensionalidades ,jerome depeyrot,,jerome depeyrot,,
Laboratorio de Caracterizacao Fisico-Quimica de Nanomateriais ,jerome depeyrot,,jerome depeyrot,,
Laboratorio de Caracterizacao Magneto-optica de Nanocoloides,jerome depeyrot,,jerome depeyrot,,
Laboratorio Multiusuario de Materiais Avancados e Sistemas Complexos,jerome depeyrot,,jerome depeyrot,,
Laboratorio de Nanocoloides Magneticos ,jerome depeyrot,,jerome depeyrot,,
"Fisica INOVA - Portal de Produtos e Servicos Tecnologicos, Cientificos e Educacionais do Instituto de Fisica/UnB",maria de fatima roigues makiuchi,,maria de fatima rodrigues makiuchi,,
Laboratorio de Manipulacao de Amostras,tec marcelo de souza parise,,heloisa maria moreira lima de almeida salles,,
Laboratorio de Plasmas ,jose leonardo ferreira,,jose leonardo ferreira,,
Laboratorio de Sintese de Nanomateriais e Caracterizacao Magnetica,jose antonio h coaquira,,jose antonio huamani coaquira,,
Laboratorio de Computacao de Fisica Atomica e Molecular,"ricardo gargano, peo henrique e demetrio filho",,ricardo gargano,,
Laboratorio de Criogenia,junio marcio rosa cruz,,junio marcio rosa cruz,,
Experimentoteca de Fisica,jose eduardo martins,,jose eduardo martins,,
Nucleo de Relatividade e Teoria de Particulas," paulo sergio da silva caldas
  vanessa carvalho de anade",,paulo sergio da silva caldas,,
Nucleo de Fisica Experimental, jose leonardo ferreira   jerome depeyro,,jose leonardo ferreira,,
Nucleo de Fisica Aplicada,"a maria aparecida g s pajanian
  jose antonio huamani coaquira",,jose antonio huamani coaquira,,
Nucleo de Estrutura da Materia," fabio menezes de souza lima
  jose felippe beaklini filh",,fabio menezes de souza lima,,
Nucleo de Fisica Atomica e Molecular, ricardo gargano  wiliam ferreira da cunha,,ricardo gargano,,
Nucleo de Fisica Matematica e Estatistica," tarcisio marciano da rocha filho
  marco antonio amato",,tarcisio marciano da rocha filho,,
Observatorio Astronomico Luis Cruls da Fazenda Agua Limpa,jose leonardo ferreira,,jose leonardo ferreira,,
Laboratorio De Sensoriamento Remoto E Analise Espacial,tati almeida,,tati de almeida,,
Laboratorio De Geocronologia e Geoquimica Isotopica,lucieth cruz vieira,,lucieth cruz vieira,,
Acqua Lab,luciano soares da cunha,,luciano soares da cunha,,
Laboratorio De Microscopia,sylvia maria de araujo,,sylvia maria araujo,,
Laboratorio de Preparacao de Amostras,catatina laboure benfica toledo,,catarina laboure bemfica toledo,,
Laboratorio De Laminacao,lucieth cruz vieira,,lucieth cruz vieira,,
Laboratorio De Inclusoes Fluidas,marcia abrahao moura,,marcia abrahao moura,,
Laboratorio De Geoquimica E Agua,jeremie garnier,,jeremie garnier,,
"Laboratorio de Cartografia, Topografia Geodesia.",edilson de souza bias,,edilson de souza bias,,
Laboratorio De Estudos Da Litosfera,jose eduardo p soares,,jose eduardo pereira soares,,
Laboratorio De Difratometria De Raios X,aiana maria coimbra horbe,,adriana maria coimbra horbe,,
Laboratorio De Isotopos Estaveis,roberto ventura santos,,roberto ventura santos,,
Laboratorio De Micropaleontologia,dermeval aparecido do carmo,,dermeval aparecido do carmo,,
Laboratorio Computacional De Geofisica Aplicada,marco ianniruberto,,marco ianniruberto,,
Laboratorio De Microssonda Eletronica,nilson francisquini botelho,,nilson francisquini botelho,,
Laboratorio de Mineralogia Aplicada,edi mendes guimaraes,,laura schertel ferreira mendes,,
Laboratorio De Gemologia, valmir da silva souza,,valmir da silva souza,,
Laboratorio De Ensino De Topografia,edilson souza bias,,edilson de souza bias,,
Laboratorio De Microscopia Eletronica De Varredura,luis gustavo ferreira viegas,,luis gustavo ferreira viegas,,
Laboratorios de Microinformatica e Recursos Computacionais,henrique llacer roig,,henrique llacer roig,,
Laboratorio De Geofisica Aplicada,marco ianniruberto,,marco ianniruberto,,
Museu de Geociencias,benhard manfred buhun,,bernard herman hess,,SIM
Observatorio Sismologico,monica giannoccaro von huelsen,,monica giannoccaro von huelsen,,
Laboratorio de Teoria da Historia,"daniel faria,   arthur assis,   estevao de rezende martins",,jose roberto de souza de almeida leite,,
Laboratorio de Historia Social,luiz paulo ferreira noguerol,,luiz paulo ferreira noguerol,,
Laboratorio de Climatologia Geografica,rafael roigues da franca,,rafael rodrigues da franca,,
Laboratorio de Ensino de Historia,"susane roigues de oliveira,
anderson oliva;
edlene silva; 
ana flavia magalhaes pinto; 
cristiane de assis portela",,cristiane de assis portela,,
Laboratorio GEOREDES,fernando luiz araujo sobrinho,,fernando luiz araujo sobrinho,,
Laboratorio de Pesquisa em Historia e Historiografia do Brasil,eloisa pereira barroso,,eloisa pereira barroso,,
Laboratorio de Analises Territoriais,nelba azevedo penna,,nelba azevedo penna,,
Laboratorio de Geografia Fisica,roselir de oliveira nascimento,,roselir de oliveira nascimento,,
Laboratorio de Sistemas de Informacoes Espaciais,osmar abilio de carvalho junior,,osmar abilio de carvalho junior,,
"Laboratorio de Geografia, Ambiente e Saude",helen da costa gurgel,,helen da costa gurgel,,
Laboratorio de Geoiconografia e Multimidias,valdir a steinke,,valdir adilson steinke,,
Centro de Estudos e Pesquisa sobre Sistemas de Abastecimento Alimentar Integrados e Praticas Alimentares,newton narciso gomes junior,,newton narciso gomes junior,,
Nucleo de Estudos e Acoes Multilaterais de Cooperacao em Educacao e Saude,mario angelo silva,,carolina pescatori candido da silva,,
Centro de Cartografia Aplicada e Informacao Geografica,rafael sanzio araujo dos anjos,,rafael sanzio araujo dos anjos,,
Centro de Documentacao Geografica  Milton Santos,rafael sanzio araujo dos anjos,,rafael sanzio araujo dos anjos,,
"Laboratorio de Teoria Social, Psicanalise e Filosofia do Centro-Oeste",herivelto pereira de souza,,herivelto pereira de souza,,
Nucleo de Acessibilidade,helena santiago vigata,,helena santiago vigata,,
Centro de Pesquisas em Analise de Discurso Critica,josenia antunes vieira,,roseany de vasconcelos vieira lopes,,
Centro de Estudos Lexicais e Terminologicos,enilde faulstich,,enilde leite de jesus faulstich,,
Laboratorio Sala Ambiente de Pesquisa em Traducao, ,,jose roberto de souza de almeida leite,,
Laboratorio de Linguas Indigenas,ana suelly c cabral,,ana suelly arruda camara cabral,,
Laboratorio de Estudos Formais da Gramatica,heloisa salles,,heloisa maria moreira lima de almeida salles,,
Laboratorio de Producao de Textos,juliana dia,,juliana de freitas dias,,
Laboratorio de Estudos Criticos do Discurso,viviane resend,,viviane de melo resende,,
Laboratorio de Estudos Criticos do Discurso,a a viviane vieira,,viviane cristina vieira,,
Laboratorio de Elaboracao de Materiais Didaticos e Pedagogicos,daniele m grannier,,daniele nunes henrique silva,,
Laboratorio de Elaboracao de Materiais Didaticos e Pedagogicos,orlene saboia,,orlene lucia de saboia carvalho,,
Laboratorio de Traducao Audiovisual,soraya ferreira alves,,soraya ferreira alves,,
"Laboratorio deAssociacao da Linguistica,Educacao eAntropologia em estudos do Contato de Linguas, Dialetos e Grupos Sociais na Europa, Africa e Americas",ulisdete roigues de souza roigues,,diana vaz de lima,,
Laboratorio de Praticas Educativas,patricia lima martins pederiva,,patricia lima martins pederiva,,
Nucleo de Tipologia Linguistica,dioney moreira gome,,dioney moreira gomes,,
Nucleo de Tipologia Linguistica,a a flavia de castro alves,,flavia de castro alves,,
Nucleo de Recursos e Estudos Hispanicos - Antonio de Nebrija ,"essora maria carolina calvo capilla  servidor tecnico responsavel: jose humberto alves endereco: instituto central de ciencias-icc, entrada sul, subsolo: biblioteca, bss 227/56",,maria carolina calvo capilla,,
Nucleo de Recursos e Estudos Hispanicos - Antonio de Nebrija ,"multiuso, bss 235 unb asa norte brasilia 
telefone: (55) 61 3107-6407 / 61 3107-7607 
e-mail: mcarolina@unbbr 
horario: de segunda a sexta de 14h a 22h 
nome da coordenadora: essora maria carolina calvo capilla 
servidor tecnico responsavel: jose humberto alves ",,jose roberto de souza de almeida leite,,
Nucleo de Estudos de Linguagem e Sociedade,carmem caetano,,carmem jena machado caetano,,
Laboratorio de Pesquisa em Psicologia no Espaco Publico e suas Interdisciplinaridades - Agora Psyche,lucia helena cavasin zabotto pulino,,lucia helena cavasin zabotto pulino,,
Laboratorio de Microgeneses nas Interacoes Sociais,"maria claudia santos lopes de oliveira
mcsloliveira@gmailcom
98127927",,maria claudia santos lopes de oliveira,,
Laboratorio de Desenvolvimento Familiar;,liana fortunato costa,,dante flavio da costa reis junior,,
"Laboratorio Integrado de Pos-Graduacao e Pesquisa
Experimental em Psicologia com Humanos",ronaldo pilati ,,ronaldo pilati rodrigues,,
Laboratorio de Psicologia do Conhecimento;,maria helena favero,,alice maria de araujo ferreira,,
Laboratorio de Processos Cognitivos ,a goiara mendonca de castilho,,goiara mendonca de castilho,,
Laboratorio de Psicobiologia, luciano grudtner buratto,,luciano grudtner buratto,,
"Laboratorio de Familia, Grupos e Comunidade",liana fortunato costa,,dante flavio da costa reis junior,,
Laboratorio de Psicologia da Saude e Desenvolvimento,tereza cristina cavalcanti ferreira de araujo,,tereza cristina cavalcanti ferreira de araujo,,
Laboratorio de Saude Mental e Cultura,marcelo da silva araujo tavares,,marcelo da silva araujo tavares,,
Programa de Estudos e Atencao as Dependencias Quimicas,maria fatima olivier sudbrack,,heloisa maria moreira lima de almeida salles,,
"Laboratorio de Aprendizagem, Processos Psicossociais e
Mudanca nas Organizacoes",jairo eduardo borges-anade,,eduardo di deus,,
Laboratorio de Metodos e Tecnicas de Avaliacao,jacob arie laros,,jacob arie laros,,
Laboratorio de Pesquisa em Avaliacao e Medida,cristiane faiad de moura,,cristiane faiad de moura,,
Laboratorio de Psicodinamica e Clinica do Trabalho,emilio peres facas,,emilio peres facas,,
Laboratorio de Psicologia Social,"fabio iglesias
ronaldo pilati",,fabio iglesias,,
Laboratorio de Psicologia Escolar e do Desenvolvimento,"claisy maria marinho araujo
",,claisy maria marinho-araujo,,
"Laboratorio de Ergonomia da Atividade, Cognicao e Saude;",mario cesar ferreira,,mario cesar ferreira,,
Laboratorio de Psicologia Social do Desenvolvimento;,angela maria de oliveira almeida,,nara maria pimentel,,
Laboratorio de Analise Experimental do Comportamento ,a josele abreu roigues,,josele regina de oliveira abreu rodrigues,,
Laboratorio de Pesquisa Cognicao e Efetividade nas Organizacoes,katia puente-palacios,,katia elizabeth puente-palacios,,
Laboratorio de Aprendizagem Humana;,jorge mendes de oliveira castro,,jorge mendes de oliveira-castro neto,,
Laboratorio de Psicanalise e Processos de Subjetivacao,daniela scheinkman chatelard,,daniela scheinkman chatelard,,
Laboratorio de Psicologia Social Transcultural,claudio vaz torres,,claudio vaz torres,,
"Laboratorio de Psicopatologia, Linguagem e Psicanalise",valeska zanello,,valeska maria zanello de loyola,,
Laboratorio de Avaliacao de Sistemas instrucionais,gardenia da silva abbad,,gardenia da silva abbad,,
Laboratorio de Diversidade e Cultura nas Organizacoes,elaine rabelo neiva,,elaine rabelo neiva,,
Grupo de Pesquisa sobre Democracia e Desigualdade,"luis felipe miguel
flavia biroli
danusa marques
carlos machado
thiago aparecido

luisfelipemiguel@gmailcom
flaviabiroli@gmailcom",,luis felipe miguel,,
Grupo Repensando as Relacoes entre Sociedade e Estado,"debora rezende
marisa von bulow
rebecca abers 
",,marisa von bulow,,
"Laboratorio de Pesquisa em Comportamento Politico, Instituicoes e Politicas Publicas",ane borges de carvalho,,andre borges de carvalho,,
Laboratorio de Quimica Analitica e Ambiental,jurandir roigues de souza,,jurandir rodrigues de souza,,
Central Analitica - Difracao de RX (Monocristal),aline lima de oliveira paterno,,aline lima de oliveira,,
Laboratorio de Ensino em Quimica Organica,talita de almeida fernandes,,talita de almeida fernandes,,
Laboratorio de Sintese Inorganica e BioInorganica,maryene alves camargo,,maryene alves camargo,,
Laboratorio de pesquisa em Quimica Analitica e Seguranca Quimica (Meio Ambiente),tais a pitta g cotta,,tais gratieri,,
Laboratorio de Quimica Metodologica e Sintetica Organica,carlos kleber zago de anade,,carlos kleber zago de andrade,,
"Laboratorio de Instrumentacao, Automacao e Miniaturizacao Analitica",alexane fonseca,,alexandre fonseca,,
Laboratorio de Quimica BioAnalitica,marly eiko osugi,,marly eiko osugi,,
Laboratorio de Catalise,jose alves dias,,jose alves dias,,
Laboratorio de Quimica Medicinal e Tecnologica,brenno amaro da silveira neto,,brenno amaro dasilveira neto,,
Laboratorio de Ensino de Quimica Computacional,joao batista lopes martins,,joao batista lopes martins,,
Laboratorio de Sintese Inorganica e Cristalografia,claudia cristina gatto,,claudia cristina gatto,,
 Laboratorio de Quimica Computacional,joao batista lopes martins,,joao batista lopes martins,,
Laboratorio de Isolamento e Transformacao de Moleculas Organicas,angelo henrique de lira machado,,angelo henrique de lira machado,,
"Laboratorio de Automacao, Quimiometria e Quimica Ambiental",fernando fabriz soe,,fernando fabriz sodre,,
"Laboratorio de Quimica de Coloides, Superficies e Interfaces",alexane gustavo soares do prado,,josiane do socorro aguiar de souza de oliveira campos,,
Laboratorio de Materiais e Combustiveis,paulo anselmo ziani suarez,,paulo anselmo ziani suarez,,
Laboratorio de Ressonancia Magnetica Nuclear,aline lima de oliveira,,aline lima de oliveira,,
Laboratorio de Inorganica e Materiais,"ingrid weber
marcelo roigues",,marcelo ladeira,,
Laboratorio de Bioprocessos Cervejeiros e Catalise Aplicada a Energias Renovaveis,grace ferreira ghesti,,grace ferreira ghesti,,
Laboratorio de Desenvolvimento de Processos Quimicos,simone monteiro,,simone monteiro e silva,,
Laboratorio de Desenvolvimento de Processos Quimicos,silva,,carolina pescatori candido da silva,,
Laboratorio de Pesquisa em Polimeros e Nanomateriais,maria jose araujo sales,,maria jose araujo sales,,
Central Analitica - Difracao de RX (Po),aline lima de oliveira paterno,,aline lima de oliveira,,
Central Analitica - Infra Vermelho,aline lima de oliveira paterno,,aline lima de oliveira,,
Central Analitica - RMN 300,aline lima de oliveira paterno,,aline lima de oliveira,,
Central Analitica II - Equipamentos,aline lima de oliveira paterno,,aline lima de oliveira,,
Fabrica Escola de Quimica,fabio moreira da silva,,fabio moreira da silva,,
Centro de Asia e America Latina,danielly silva ramos becard,,danielly silva ramos becard,,
Centro de Estudos sobre as Relacoes Internacionais do Brasil Contemporaneo,antonio carlos lessa,,antonio carlos moraes lessa,,
Laboratorio de Estudos Afrocentrados em Relacoes Internacionais,thiago gehre galvao,,thiago de carvalho rodrigues doca,,
Nucleo de Estudos do Oriente,vania carvalho,,vania carvalho pinto,,
Nucleo de Estudos sobre ospensadores classicos e os debates contemporaneos,eiiti sato,,eiiti sato,,
